"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Re: LieF ~ Shin'ainaru Anata e~ (Foil)","0","0","16","0","145.08","145.08","9.07","0.40","95.6","0.00","0.00","1","2.40","2021-03-01","1518770"
"Re: LieF ~ Shin'ainaru Anata e~","0","0","16","0","7.30","7.30","0.46","0.40","13.0","0.00","0.00","4","2.40","2021-03-01","1518770"
"距离男主自杀还剩七天","0","0","6","0","0.88","0.88","0.15","0.59","-293.3","0.00","0.00","4","0.26","2021-03-01","1528130"
"Your amazing T-Gotchi! (Foil)","0","0","6","0","9.40","9.40","1.57","1.56","0.6","0.00","0.00","1","0.34","2021-02-28","1420740"
"Your amazing T-Gotchi!","0","0","6","0","2.34","2.34","0.39","1.56","-300.0","0.00","0.00","6","0.34","2021-02-28","1420740"
"Mystery Hotel - Hidden Object Detective Game","0","0","6","0","2.22","2.22","0.37","N/A","0.0","0.00","0.00","9","0.97","2021-02-28","1356530"
"Byte Family (Foil)","0","0","6","0","11.56","11.56","1.93","0.24","87.6","2.58","0.97","2","0.18","2021-02-28","542880"
"Byte Family","0","0","6","0","0.44","0.44","0.07","0.24","-242.9","2.58","0.97","49","0.18","2021-02-28","542880"
"Duel on Board","0","0","6","0","70.69","70.69","11.78","N/A","0.0","0.00","0.00","1","20.49","2021-02-26","612040"
"False Myth","0","0","8","0","3.43","3.43","0.43","0.27","37.2","0.00","0.00","6","1.50","2021-02-25","1257200"
"Cyber Attack (Foil)","0","0","7","0","95.76","95.76","13.68","0.10","99.3","0.00","0.00","1","0.44","2021-02-25","1230560"
"STRIDE (Foil)","0","0","9","0","121.24","121.24","13.47","0.17","98.7","0.00","0.00","2","0.35","2021-02-25","1292040"
"Old School RuneScape (Foil)","0","0","16","0","89.47","89.47","5.59","0.14","97.5","1.75","2.55","7","1.11","2021-02-25","1343370"
"Rogue Heroes: Ruins of Tasos (Foil)","0","0","11","0","56.93","56.93","5.18","N/A","0.0","0.00","0.00","2","0.35","2021-02-25","787810"
"Age of Fear 4: The Iron Killer","0","0","6","0","11.94","11.94","1.99","1.66","16.6","0.00","0.00","1","5.19","2021-02-25","431950"
"Cyber Attack","0","0","7","0","1.19","1.19","0.17","0.10","41.2","0.00","0.00","15","0.44","2021-02-25","1230560"
"Old School RuneScape","0","0","16","0","2.58","2.58","0.16","0.14","12.5","1.75","2.55","146","1.11","2021-02-25","1343370"
"STRIDE","0","0","9","0","0.87","0.87","0.10","0.17","-70.0","0.00","0.00","20","0.35","2021-02-25","1292040"
"Rogue Heroes: Ruins of Tasos","0","0","11","0","0.86","0.86","0.08","N/A","0.0","0.00","0.00","47","0.35","2021-02-25","787810"
"Curse of the Dead Gods (Foil)","0","0","6","0","5.33","5.33","0.89","0.06","93.3","0.00","0.00","19","0.23","2021-02-24","1123770"
"Curse of the Dead Gods","0","0","6","0","0.52","0.52","0.09","0.06","33.3","0.00","0.00","88","0.23","2021-02-24","1123770"
"Muse:Night Out (Foil)","0","0","6","0","187.28","187.28","31.21","N/A","0.0","0.00","0.00","1","0.29","2021-02-22","1487430"
"Persona 5 Strikers (Foil)","0","0","10","0","46.31","46.31","4.63","0.53","88.6","3.73","13.31","11","2.22","2021-02-22","1382330"
"Persona 5 Strikers","0","0","10","0","5.09","5.09","0.51","0.53","-3.9","3.73","13.31","97","2.22","2021-02-22","1382330"
"Muse:Night Out","0","0","6","0","0.66","0.66","0.11","N/A","0.0","0.00","0.00","22","0.29","2021-02-22","1487430"
"Prodigal (Foil)","0","0","12","0","141.36","141.36","11.78","0.22","98.1","0.00","0.00","1","0.73","2021-02-22","1393820"
"Prodigal","0","0","12","0","1.70","1.70","0.14","0.22","-57.1","0.00","0.00","24","0.73","2021-02-22","1393820"
"Ultimate Zombie Defense (Foil)","0","0","9","0","27.59","27.59","3.07","0.10","96.7","0.60","1.07","4","0.21","2021-02-21","1035510"
"Ultimate Zombie Defense","0","0","9","0","0.51","0.51","0.06","0.10","-66.7","0.60","1.07","68","0.21","2021-02-21","1035510"
"Steven Universe: Unleash the Light (Foil)","0","0","12","0","216.00","216.00","18.00","0.14","99.2","0.00","0.00","1","0.83","2021-02-20","1379560"
"Steven Universe: Unleash the Light","0","0","12","0","1.91","1.91","0.16","0.14","12.5","0.00","0.00","24","0.83","2021-02-20","1379560"
"Sudoku Zenkai (Foil)","0","0","12","0","54.19","54.19","4.52","0.14","96.9","1.20","1.37","2","0.52","2021-02-19","809850"
"Sudoku Zenkai","0","0","12","0","1.18","1.18","0.10","0.14","-40.0","1.20","1.37","15","0.52","2021-02-19","809850"
"Learning Factory","0","0","7","0","1.98","1.98","0.28","0.16","42.9","0.55","0.27","10","0.73","2021-02-19","1150090"
"Alice's Adventures (Foil)","0","0","6","0","6.60","6.60","1.10","N/A","0.0","0.63","0.55","1","0.44","2021-02-18","839670"
