{PRICE;CARD_NAME;MARKET_HASH_NAME;LAST_UPDATED}



{0.1;Tetrahedron;619890-Tetrahedron;2021-08-01}

{0.08;Wait! (Trading Card);576730-Wait%21%20%28Trading%20Card%29;2021-08-01}

{0.08;Glitch;619890-Glitch;2021-08-01}

{0.07;Hateful Rogue;612250-Hateful%20Rogue;2021-08-02}

{0.05;Hazmat;415670-Hazmat;2021-08-02}

{0.04;Heads in the Sky;485870-Heads%20in%20the%20Sky;2021-08-02}

{0.05;Heartmobile Concept;336730-Heartmobile%20Concept;2021-08-02}

{0.05;Heavy Ship;411120-Heavy%20Ship;2021-08-02}

{0.04;Heck;547090-Heck;2021-08-02}

{0.05;Here We Go;593670-Here%20We%20Go;2021-08-02}

{0.04;Hesper;391660-Hesper;2021-08-02}

{0.05;Hide and Seek;284990-Hide%20and%20Seek;2021-08-02}

{0.04;Hearts card;501480-Hearts%20card;2021-08-02}

{0.04;Highest Revenue;399670-Highest%20Revenue;2021-08-02}

{0.06;Hive - Weevil;312960-Hive%20-%20Weevil;2021-08-02}

{0.05;History Book;396530-History%20Book;2021-08-02}

{0.04;Hiver Attack Craft;267730-Hiver%20Attack%20Craft;2021-08-02}

{0.05;Hiver Rockets;267730-Hiver%20Rockets;2021-08-02}

{0.05;Hiver Hover Tanks;267730-Hiver%20Hover%20Tanks;2021-08-02}

{0.04;Homer (Trading Card);400180-Homer%20%28Trading%20Card%29;2021-08-02}

{0.05;Hiver Offensive;267730-Hiver%20Offensive;2021-08-02}

{0.18;December (Trading Card);587390-December%20%28Trading%20Card%29;2021-08-02}

{0.38;Critter;444520-Critter;2021-08-02}

{0.08;The Peacekeeper;557830-The%20Peacekeeper;2021-08-02}

{0.08;Pod;257050-Pod;2021-08-02}

{0.19;Ninja;463000-Ninja;2021-08-02}

{0.13;Eating Squad (Trading Card);568780-Eating%20Squad%20%28Trading%20Card%29;2021-08-02}

{0.11;Hesperus;459410-Hesperus;2021-08-02}

{0.07;Bridge Of Stone;470270-Bridge%20Of%20Stone;2021-08-02}

{0.05;Level 20 (Trading Card);334300-Level%2020%20%28Trading%20Card%29;2021-08-02}

{0.1;Glider;627670-Glider;2021-08-02}

{0.05;Chop Chop;533340-Chop%20Chop;2021-08-02}

{0.12;Life Core;507520-Life%20Core;2021-08-02}

{0.36;The Rabbit;576390-The%20Rabbit;2021-08-02}

{0.57;Flame;614660-Flame;2021-08-02}

{0.29;ELE (Trading Card);414760-ELE%20%28Trading%20Card%29;2021-08-02}

{0.06;Glasses;540190-Glasses;2021-07-31}

{0.1;King of El Dorado;298380-King%20of%20El%20Dorado;2021-07-31}

{0.11;The Prophecy;298380-The%20Prophecy;2021-07-31}

{0.1;Pummler;594810-Pummler;2021-07-31}

{0.09;Vampire Lord;278590-Vampire%20Lord;2021-07-31}

{0.05;Bonnie the Rogue;485260-Bonnie%20the%20Rogue;2021-07-31}

{0.06;Painting;396530-Painting;2021-07-31}

{0.12;Slime;600310-Slime;2021-07-31}

